id,repository,url,category,license,license_basis,local_inference,windows_delivery,job_discovery,application_materials,application_submission,tracking,recommendation,main_caveat,sources,review_depth,checked
R01,Gsync/jobsync,https://github.com/Gsync/jobsync,Integrated workbench,MIT,license text,Ollama documented,"Self-hosted web; PowerShell deployment, not native app",Scheduled Greenhouse/Lever/Ashby,"Resume import, matching, cover letters",Not established,Yes,Strong self-hosted alternative; compare with closer native AI Job Hunter first,Public postings integration is not evidence of ATS submission; no runtime tests performed,S01 S62,Documentation/tree/license inspection; not installed or executed,2026-09-25
R02,tcpsyn/CareerPulse,https://github.com/tcpsyn/CareerPulse,Integrated workbench,MIT,license text,Ollama documented,Self-hosted web plus browser extension,"Multi-source, maintainer documented",DOCX/PDF preparation documented,Extension autofill documented; actual breadth untested,Yes,Broad local workflow candidate to compare,Do not treat advertised ATS list as validated current coverage or security certification,S02 S57,Documentation/tree/license inspection; not installed or executed,2026-09-25
R03,Pickle-Pixel/ApplyPilot,https://github.com/Pickle-Pixel/ApplyPilot,End-to-end agent workflow,AGPL-3.0,license text,Preparation supports local endpoints; apply uses Claude Code,CLI/Python/Node/Chrome; not native GUI,JobSpy and career sources,Tailoring and cover letters,Documented automated execution with dry-run option,Workflow records,End-to-end automation reference with a cloud-dependent applying stage,Complete documented flow still depends on a proprietary coding assistant; exclude CAPTCHA-bypass features,S03 S59,Documentation/tree/license inspection; not installed or executed,2026-09-25
R04,jlifeng/JobPilot,https://github.com/jlifeng/JobPilot,Native desktop materials,Apache-2.0,license text,Cloud providers in quickstart; bundled local inference not established,Tauri 2 Windows MSI documented,Not established,"Resume studio, matching, interviews",Not established,JD/application tracker on roadmap,Native Windows UX/shell reference with roadmap caveats,Local files do not imply local AI; avoid counting planned tracker as shipped,S04 S60,Documentation/tree/license inspection; not installed or executed,2026-09-25
R05,career-ops-hq/career-ops,https://github.com/career-ops-hq/career-ops,Coding-agent workflow,MIT,license text,Depends on selected coding CLI/provider,"CLI/TUI, not native Windows GUI",Source scanning documented,"Evaluation, tailored materials and form drafts",Form assistance; universal automated submit not established,Local workflow dashboard,Useful research/orchestration reference,Coding-agent subscription and data egress are separate from code license,S05 S58,Documentation/tree/license inspection; not installed or executed,2026-09-25
R06,arspesk/sur9e,https://github.com/arspesk/sur9e,Coding-agent workbench,MIT,README plus repository license label,Depends on chosen coding agent/model,Web UI over local toolkit,Posting screening documented,CV tailoring and offer evaluation,Not established,Yes,Additional workflow/UI reference,Preserve upstream attribution; brand is not licensed by MIT; audit host/provider,S06,Documentation/tree/license inspection; not installed or executed,2026-09-25
R07,vesaias/JobNavigator,https://github.com/vesaias/JobNavigator,Integrated workbench,MIT label; disclaimer caveat,README; conflicting personal/educational wording,Ollama and compatible endpoints,"Docker/web, not native GUI","Career pages, ATS endpoints, aggregators",PDF CV and cover letters,"Capture extension, not established autofill/submit",Kanban; Gmail documented,Evaluate after clarifying license/disclaimer,Do not strip frame-protection headers; historical LCA is not role sponsorship; disable risky sources,S07,Documentation/tree/license inspection; not installed or executed,2026-09-25
R08,amruthpillai/reactive-resume,https://github.com/amruthpillai/reactive-resume,Resume component,MIT,license text,Core builder is not dependent on LLM,Browser/self-hosted web,No complete discovery workflow,Template-based resume editor/export,No complete submit workflow,Not a job tracker,Strong materials/editor building-block reference,Integrate through a canonical document model; template appearance does not prove parsing accuracy,S08 S61,Documentation/tree/license inspection; not installed or executed,2026-09-25
R09,xitanggg/open-resume,https://github.com/xitanggg/open-resume,Resume parser/builder,AGPL-3.0,repository license label,Core browser tools do not require cloud LLM,Browser,No,Resume builder and parser,No,No,Useful parser/formatting comparison baseline,Do not relabel AGPL code Apache; one parser is not an all-ATS certification,S09,Documentation/tree/license inspection; not installed or executed,2026-09-25
R10,srbhr/Resume-Matcher,https://github.com/srbhr/Resume-Matcher,Resume tailoring,Apache-2.0,README plus repository license label,Ollama documented,Web/Python/Node; Docker/WSL route documented,User supplies JD,"Master resume, tailoring, cover letter, PDF",No complete submit workflow,Not a full search tracker,Good local tailoring comparison baseline,Importing DOCX is not equivalent to editable DOCX export fidelity,S10,Documentation/tree/license inspection; not installed or executed,2026-09-25
R11,speedyapply/JobSpy,https://github.com/speedyapply/JobSpy,Discovery library,MIT,repository license label,No LLM required,Python library,Job board scraping,No,No,No,"Optional isolated adapter, not mandatory dependency",Reported missing fields/hangs/country gaps; policy and network availability need per-source decisions,S11 S33 S34 S35,Documentation/tree/license inspection; not installed or executed,2026-09-25
R12,GodsScion/Auto_job_applier_linkedIn,https://github.com/GodsScion/Auto_job_applier_linkedIn,LinkedIn automation,"MIT, current",live license text,Provider/configuration-dependent,Python/browser; Windows scripts,LinkedIn,AI-assisted configuration,Automated LinkedIn applying documented,Execution records,Reference only; not a default production connector,LinkedIn policy prohibits this class of automation; old cached license differs from live file,S12 S28 S56,Documentation/tree/license inspection; not installed or executed,2026-09-25
R13,DaKheera47/job-ops,https://github.com/DaKheera47/job-ops,Integrated source-available workbench,AGPL + Commons Clause,README and license inspected,Compatible local endpoints documented,Self-hosted web,Yes,Yes,README says no auto-apply,Gmail/status workflow,Include as restricted/public-code competitor; reuse only under its actual terms,Commercial restrictions; advertised open-source wording is insufficient,S13 S23 S24,Documentation/tree/license inspection; not installed or executed,2026-09-25
R14,wodsuz/EasyApplyJobsBot,https://github.com/wodsuz/EasyApplyJobsBot,LinkedIn automation,CC BY-NC-SA 4.0,license text,Configuration-dependent,Python/browser,LinkedIn,Configuration-driven,EasyApply automation,Limited records,Include as restricted/public-code competitor; reuse only under its actual terms,Noncommercial restriction; paid Apllie offering is not the same as this repository,S14 S28,Documentation/tree/license inspection; not installed or executed,2026-09-25
R15,Liam-Frost/AutoApply,https://github.com/Liam-Frost/AutoApply,Source-available workbench,PolyForm Noncommercial 1.0.0,README explicit license terms,Ollama among providers,"Web/containers, not native GUI",Discovery/scoring documented,Evidence-grounded materials documented,Browser fill/click-submit explicitly not_implemented,Tracking UI; outcome sync incomplete,Include as restricted/public-code competitor; reuse only under its actual terms,Many desired ideas already documented; do not mistake roadmap or test-count claims for runtime verification,S15 S23,Documentation/tree/license inspection; not installed or executed,2026-09-25
R16,feder-cr/AIHawk,https://github.com/feder-cr/AIHawk,Historical/replaced reference,Current target not audited for reuse,URL redirect observed,Not applicable to old product claim,Not established,Historical claims not accepted,Historical claims not accepted,Historical claims not accepted,Not established,Do not recommend old URL as current complete job applier,"Redirect now identifies invisible_playwright_mcp, a different project; forks require separate audit",S16,Documentation/tree/license inspection; not installed or executed,2026-09-25
R17,ibarrajo/ApplyPilot,https://github.com/ibarrajo/ApplyPilot,ApplyPilot fork,Unverified independently,README only,Local preparation possible; apply dependency remains,CLI/browser,Fork pipeline,Tailoring,README describes automation/human review,Gmail additions documented,"Lead for deeper review, not verified recommendation",Fork lineage does not prove every copied file has compatible licensing,S17,Documentation/tree/license inspection; not installed or executed,2026-09-25
R18,alok-sin/applypilot,https://github.com/alok-sin/applypilot,ApplyPilot-Plus fork,Unverified independently,README only,Configuration-dependent; coding CLI for apply,CLI/browser,Expanded sources claimed,Tailoring/JSON-PDF alignment,"Documented workflow, untested",Execution workflow,Lead for hardening patterns,Do not silently remove content merely to fit a page; license and coverage audit outstanding,S18,Documentation/tree/license inspection; not installed or executed,2026-09-25
R19,yvonnehe772/applypilot,https://github.com/yvonnehe772/applypilot,Agent workflow,Unverified,README only,Depends on agent/provider,Agent workflow,Lead collection workflows,Profile-driven preparation,Human/blocked paths described,Workflow state,Discovery-stage lead only,Do not conflate same project name with the AGPL ApplyPilot project,S19,Documentation/tree/license inspection; not installed or executed,2026-09-25
R20,iknalos/ApplyPilot,https://github.com/iknalos/ApplyPilot,Profile/browser workflow,Unverified,README only,Claude-based documented workflow,Web/bookmarklet/browser,Public ATS/job imports,Profile assistance,Supervised browser workflow,Workflow tracking,Discovery-stage lead only,License unresolved; browser eligibility differs by employer and site,S20,Documentation/tree/license inspection; not installed or executed,2026-09-25
R21,kaanddemir/applypilot,https://github.com/kaanddemir/applypilot,Tracker/local-browser AI,Unverified,README only,WebLLM option documented,Browser application,Not established,Resume critique and letters,Not established,Kanban,Discovery-stage lead only,Browser-local model support is not proof of Windows GPU/16 GB workload fit,S21,Documentation/tree/license inspection; not installed or executed,2026-09-25
R22,andrew-shwetzer/career-ops-plugin,https://github.com/andrew-shwetzer/career-ops-plugin,Coding-assistant plugin,MIT label,repository license label,Depends on host/provider,"Cowork plugin, not standalone app",Workflow assistance,Research/evaluation/materials skills,Not established,Host workflow,Useful prompt/workflow reference,Proprietary host dependency remains; inspect actual license before reuse,S22,Documentation/tree/license inspection; not installed or executed,2026-09-25
R23,saeedkolivand/ai-job-hunter-app,https://github.com/saeedkolivand/ai-job-hunter-app,Closest integrated desktop comparator,Apache-2.0 code; bundled ATS company data CC BY-NC 4.0,README/repository license evidence; dependency audit pending,Ollama/local compatible engines plus cloud/CLI,Tauri Rust core + React; Windows release documented,"24 boards claimed, ATS/aggregators and extension imports","Resume/cover/answers, DOCX/PDF/TXT, evidence stages",Opt-in contact autofill; glossary says never submits,"Lifecycle, IMAP confirmations, status history, saved answers",Primary baseline and selective licensed reuse candidate,"Derived Applied badge can reflect generation, separate from lifecycle; reproduce exact revision. No independent runtime/GPU benchmark. Code/data licenses differ.",S63 S64 S65,README + selected glossary/code-search paths + pinned tree; not executed,2026-09-25
R24,joseym/aarg,https://github.com/joseym/aarg,Rust evidence/tailoring comparator,MIT OR Apache-2.0,README/repository license evidence; dependency audit pending,Ollama/LM Studio end-to-end documented,Rust CLI and WASM browser workspace,Posting input; no broad discovery established,"Adversarial revision, evidence, Typst ATS/human PDFs, diffs",Not established,Generation history,Reuse or learn from typed evidence and bounded iteration,"Do not claim Rust, evidence grounding or revision loops as novel; not independently run.",S66,README/product documentation reviewed; not executed,2026-09-25
R25,datascry/openroles,https://github.com/datascry/openroles,Multi-ATS discovery,MIT code; CC BY-SA 4.0 dataset,README/repository license evidence; dependency audit pending,No LLM needed,Static browser app,51 in README / 52 in About; nightly ATS discovery,Not established,Direct source ATS links,Browser-local saved/applied/ignored/searches,Benchmark discovery/freshness and adapter coverage,Count discrepancy and coverage claims are not measured recall. Dataset obligations separate from MIT code.,S67,README/product documentation reviewed; not executed,2026-09-25
R26,nicobrenner/commandjobs,https://github.com/nicobrenner/commandjobs,Terminal job search,Apache-2.0,README/repository license evidence; dependency audit pending,Cloud GPT in documented workflow,Python terminal,HN and selected company ATS searches,Not a full materials studio,Not established,Some tracking/alerts presented as future,Reference terminal discovery; avoid roadmap inflation,Local SQLite is not local AI; untested.,S68,README/product documentation reviewed; not executed,2026-09-25
R27,lucasnevespereira/swizjobsbot,https://github.com/lucasnevespereira/swizjobsbot,Regional alerts,MIT,README/repository license evidence; dependency audit pending,No local model requirement documented,Node/Telegram; French interface,Swiss Google Jobs via SerpApi,Not established,Not established,"Alerts, schedule, retention",Regional discovery and lifecycle reference,External API dependency; not an integrated applying platform.,S69,README/product documentation reviewed; not executed,2026-09-25
R28,AkmalFairuz/job-hunter,https://github.com/AkmalFairuz/job-hunter,Search library and alerts,Unresolved,README/repository license evidence; dependency audit pending,OpenAI-compatible bot; local deployment not verified,Go CLI + Discord,Public LinkedIn search only,AI filter/one-line overview,Not documented,"Repost awareness, content caching, per-channel dedup",Reference efficient caching and partial-failure behavior,LinkedIn policy/rate limits; no universal coverage or local inference proof.,S70,README/product documentation reviewed; not executed,2026-09-25
R29,Kumneger0/afriApply,https://github.com/Kumneger0/afriApply,Regional integrated autoapply,Unresolved,README/repository license evidence; dependency audit pending,Cloud API keys documented,"Bun/Hono web, self-hosted",Afriwork,AI cover letters and profile,Automatic submission without approval documented,Telegram and application records,Functional counterexample to regional end-to-end breadth,Unsafe default for our design; self-hosted does not negate cloud/Turso dependencies.,S71,README/product documentation reviewed; not executed,2026-09-25
R30,damonleelcx/Opportunity-Bridge-Agent,https://github.com/damonleelcx/Opportunity-Bridge-Agent,Opportunity and public-support agent,Unresolved,README/repository license evidence; dependency audit pending,Qwen API; offline scripted demo only,Go binary + embedded web UI; Windows documented,Jobs/training/support paths; sample corpus clearly labelled,Criteria explanations and prepared materials,Hash-bound approval for irreversible actions,"Followups, consent and human fallback",Counterexample for inclusive workflows and approval semantics,Sample data/demo must not be counted as verified real nationwide job coverage.,S72,README/product documentation reviewed; not executed,2026-09-25
R31,KarstenEvans/aletheia-app,https://github.com/KarstenEvans/aletheia-app,Adjacent protocol/UI apps,No license selected,README/repository license evidence; dependency audit pending,Host-dependent,Portable Markdown/HTML,Job discovery not established in inspected README,General evidence-aware tasks,Not established,General task/reconstruction protocols,"Topic triage: adjacent, not established job platform",Public visibility explicitly does not grant reuse; do not infer job features from topic tag.,S73,README/product documentation reviewed; not executed,2026-09-25
R32,p95max/JobApply,https://github.com/p95max/JobApply,Tracker and inbox workflow,Unresolved,README/repository license evidence; dependency audit pending,Deterministic Gmail + optional cloud AI,Django web,No broad discovery established,Document/import workflow,Auto-apply label may mean tracker proposal acceptance,"Applications/interviews, inbox proposals, Drive backup",Counterexample for provenance-aware email tracking,Review terminology carefully; public code is not a verified license.,S74,README/product documentation reviewed; not executed,2026-09-25
R33,mareurs/researcher,https://github.com/mareurs/researcher,Supporting Rust infrastructure,Unresolved,README/repository license evidence; dependency audit pending,Local GPU/compatible API documented,Rust CLI/MCP,"General internet research, not jobs specifically",Research synthesis,Not applicable,Research state,"Potential research-engine reference, not counted as job app",Performance claims not independently measured; license/backend review required.,S75,README/product documentation reviewed; not executed,2026-09-25
