repository,url,review_status,evidence,notes
career-ops-hq/career-ops,https://github.com/career-ops-hq/career-ops,Reviewed; see R05,S76,Do not infer product capability or missing features from a name/topic tag
Gsync/jobsync,https://github.com/Gsync/jobsync,Reviewed; see R01,S76,Do not infer product capability or missing features from a name/topic tag
nicobrenner/commandjobs,https://github.com/nicobrenner/commandjobs,Reviewed; see R26,S76,Do not infer product capability or missing features from a name/topic tag
Kajaasfaq/Company-list-Chennai,https://github.com/Kajaasfaq/Company-list-Chennai,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
GabeGiro/EasyApplyJobsBot,https://github.com/GabeGiro/EasyApplyJobsBot,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
amol-can/eu-visa-sponsoring-companies,https://github.com/amol-can/eu-visa-sponsoring-companies,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
Developer-RONNIE/List-of-Top-Unicorn-Startups-India,https://github.com/Developer-RONNIE/List-of-Top-Unicorn-Startups-India,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
CarlosZBent/Directorio_trabajos_tech,https://github.com/CarlosZBent/Directorio_trabajos_tech,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
pavangudiwada/job-resources,https://github.com/pavangudiwada/job-resources,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
datascry/openroles,https://github.com/datascry/openroles,Reviewed; see R25,S76,Do not infer product capability or missing features from a name/topic tag
Kumneger0/afriApply,https://github.com/Kumneger0/afriApply,Reviewed; see R29,S76,Do not infer product capability or missing features from a name/topic tag
Boki136/Jobbing,https://github.com/Boki136/Jobbing,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
xuanthanhtah/Find_Job,https://github.com/xuanthanhtah/Find_Job,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
algosup/2023-2024-project-5-flutter-team-6,https://github.com/algosup/2023-2024-project-5-flutter-team-6,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
nmaties/jobs-scraper-linkedin,https://github.com/nmaties/jobs-scraper-linkedin,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
Noospheracr/JobArmyKnife,https://github.com/Noospheracr/JobArmyKnife,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
AkmalFairuz/job-hunter,https://github.com/AkmalFairuz/job-hunter,Reviewed; see R28,S76,Do not infer product capability or missing features from a name/topic tag
tomigbel/apply-within,https://github.com/tomigbel/apply-within,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
tacitup/Resume-Match,https://github.com/tacitup/Resume-Match,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
vaishnaviteja05/CareerUpdates,https://github.com/vaishnaviteja05/CareerUpdates,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
lucasnevespereira/swizjobsbot,https://github.com/lucasnevespereira/swizjobsbot,Reviewed; see R27,S76,Do not infer product capability or missing features from a name/topic tag
rajkumar-avachar/JobGrids-job-portal-platform,https://github.com/rajkumar-avachar/JobGrids-job-portal-platform,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
bughunter7/bughunter7,https://github.com/bughunter7/bughunter7,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
AndreiBanu1/romania-job-aggregator,https://github.com/AndreiBanu1/romania-job-aggregator,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
sameersalihabdalla/JobsAgent---jobs-Board-Platform,https://github.com/sameersalihabdalla/JobsAgent---jobs-Board-Platform,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
jamessnguyenn/EZ-Apply,https://github.com/jamessnguyenn/EZ-Apply,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
faketechlabsberlin/st21-jobzilla,https://github.com/faketechlabsberlin/st21-jobzilla,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
Blessman-Newton/RemotePathy,https://github.com/Blessman-Newton/RemotePathy,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
SreecharanV/Visualizing-Current-Data-Science-Salary-Trends-Key-Insights-for-Job-Seekers,https://github.com/SreecharanV/Visualizing-Current-Data-Science-Salary-Trends-Key-Insights-for-Job-Seekers,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
Aimin-Nur/Job-Seeker,https://github.com/Aimin-Nur/Job-Seeker,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
KarstenEvans/aletheia-app,https://github.com/KarstenEvans/aletheia-app,Reviewed; see R31,S76,Do not infer product capability or missing features from a name/topic tag
PydevAzmi/pydevazmi.github.io,https://github.com/PydevAzmi/pydevazmi.github.io,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
damonleelcx/Opportunity-Bridge-Agent,https://github.com/damonleelcx/Opportunity-Bridge-Agent,Reviewed; see R30,S76,Do not infer product capability or missing features from a name/topic tag
MyTurn25176/MyTurn,https://github.com/MyTurn25176/MyTurn,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
mahinjust/Job-Portal-Application,https://github.com/mahinjust/Job-Portal-Application,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
Pranav-un/ATSight,https://github.com/Pranav-un/ATSight,Discovery metadata only; feature/license verification outstanding,S76,Do not infer product capability or missing features from a name/topic tag
