id,topic,existing_evidence,sources,revised_opportunity,validation,status
GAP01,Native Windows + local reasoning,AI Job Hunter already has Windows/Tauri and Ollama; AARG has Rust/local-model workflows.,S63 S66,Not novel. Target a native Rust UI with measured end-to-end AMD 16 GB qualification.,"Run matched correctness, resource, accessibility and latency tests; do not assume Rust alone wins.",Competitive hypothesis or quality target; universal novelty NOT established
GAP02,Truthful/evidence-backed materials,"AARG, AI Job Hunter, AutoApply and RolePatch already ground material in evidence.",S15 S63 S65 S66 S84,Not novel alone. Investigate graph-wide correction propagation to unsent artifacts and approval invalidation.,"Change 100 facts across multi-artifact fixtures; detect all impacted claims, preserve unaffected ones and invalidate the exact approvals.",Competitive hypothesis or quality target; universal novelty NOT established
GAP03,Application receipts,Scout and ApplyFlow document receipts; AI Job Hunter has confirmation tracking.,S63 S82 S85,Not novel. Test receipt-qualified state semantics and reconciliation after uncertain writes.,"Crash before click, after click and before local commit; no automatic ambiguous retry and no false confirmed state.",Competitive hypothesis or quality target; universal novelty NOT established
GAP04,Already-applied detection,AI Job Hunter has applied checks and an independent lifecycle; job-hunter documents repost handling.,S64 S70,"Generation-based badges are a specific semantics risk to reproduce, not proof tracking is absent.","Compare Prepared versus Confirmed across URL aliases, imports and generation-only workflows at pinned versions.",Competitive hypothesis or quality target; universal novelty NOT established
GAP05,Job freshness and aggregation,openroles already refreshes many ATS sources and exposes stale filtering; Jobright markets fresh verified roles.,S67 S79,Not novel. Target explicit observation evidence and measured source/locale coverage under failure.,Gold-label open/closed/unknown samples; hold out source outages; score stale false positives and missing coverage notices.,Competitive hypothesis or quality target; universal novelty NOT established
GAP06,Visa/language/eligibility guidance,Opportunity Bridge already explains met/unmet/unknown criteria; specialist directories exist.,S72 S76 S89,Not new as a category. Target precise source-linked distinctions without legal verdicts or silent relaxations.,English ad with German requirement; historical sponsorship with unknown role support; failed and missing constraints stay separate.,Competitive hypothesis or quality target; universal novelty NOT established
GAP07,Privacy and data ownership,"Local SQLite/keychain, local inference and private proof imports already exist.",S63 S64 S66 S84,Not novel. Target independently tested purpose-level network isolation and coherent deletion/backup policy.,Canary resume/email text must not enter general search queries or telemetry; test every egress path.,Competitive hypothesis or quality target; universal novelty NOT established
GAP08,Human approvals,"AutoApply, Opportunity Bridge and assisted products already have human review; hash-bound approval appears in Opportunity Bridge.",S15 S29 S72,"Not novel. Require typed, one-use, expiring grants tied to profile/packet/form/destination revisions.","Mutate each bound field; stale/replayed grants cannot cause writes. Confirm approval is enforced in code, not prompt.",Competitive hypothesis or quality target; universal novelty NOT established
GAP09,Learning from outcomes,LoopCV advertises analytics and CV A/B testing; mature trackers have funnels.,S31 S32 S80,"Not novel. Target accurate denominators, response lag and honest causal limitations.",Simulated censoring and selection shifts must not become claimed causal gains or calibrated hire probabilities.,Competitive hypothesis or quality target; universal novelty NOT established
GAP10,Networking and interviews,"Simplify, Huntr, Teal, Jobright and AIApply already address these stages.",S31 S77 S78 S79 S81 S87,"Table stakes. Improve source-backed preparation and consented, relevant outreach rather than claim invention.","Blinded specificity/usability scoring; no invented contacts, fake experience or covert live interview functionality.",Competitive hypothesis or quality target; universal novelty NOT established
GAP11,Document quality and revision loops,AARG exports ATS/human PDFs and iterates; AI Job Hunter has multiple templates and DOCX/PDF.,S63 S66,"Not novel. Target explicit layout locks, fact consistency, corrected evidence and export regression gates.","Render representative fonts/locales; verify exact page targets, image aspect ratio and semantic text parity.",Competitive hypothesis or quality target; universal novelty NOT established
GAP12,Recovery and efficient orchestration,"General systems, browser frameworks and several workbenches already have queues/logging.",S33 S39 S64 S92 S93 S95,No universal missing-feature claim. Target reproducible bounded-resource workflow reliability as a combined quality property.,"Inject hangs/OOM/sleep/resume/cancel; assert queue bounds, visible degradation, preserved drafts and accurate external-action states.",Competitive hypothesis or quality target; universal novelty NOT established
