id,title,url,kind,checked,note
S01,JobSync repository,https://github.com/Gsync/jobsync,primary,2026-09-25,"README, tree and MIT license checked; self-hosted/local Ollama and discovery documented. Not executed."
S02,CareerPulse repository,https://github.com/tcpsyn/CareerPulse,primary,2026-09-25,"README and MIT LICENSE checked. ATS autofill breadth is a maintainer claim, not a tested coverage result."
S03,ApplyPilot repository,https://github.com/Pickle-Pixel/ApplyPilot,primary,2026-09-25,Six-stage workflow; local LLM options for preparation; Claude Code documented for application execution; AGPL-3.0 license read.
S04,JobPilot repository,https://github.com/jlifeng/JobPilot,primary,2026-09-25,"Windows MSI/Tauri workspace documented. JD/application tracker is on the roadmap, not a shipped feature in inspected README."
S05,career-ops repository,https://github.com/career-ops-hq/career-ops,primary,2026-09-25,"AI coding CLI workflow; MIT license confirmed with live GitHub connector, not only cached search."
S06,sur9e repository,https://github.com/arspesk/sur9e,primary,2026-09-25,MIT attribution to career-ops; web UI around coding-agent workflows. Trademark is separate.
S07,JobNavigator repository,https://github.com/vesaias/JobNavigator,primary,2026-09-25,README MIT label; personal/educational disclaimer creates an additional interpretation question. Capture extension is not submission autofill.
S08,Reactive Resume repository,https://github.com/amruthpillai/reactive-resume,primary,2026-09-25,"MIT license inspected; resume-building reference, not a complete search/submission product."
S09,OpenResume repository,https://github.com/xitanggg/open-resume,primary,2026-09-25,AGPL-3.0 repository; resume builder/parser. Parser tests do not certify all ATS products.
S10,Resume Matcher repository,https://github.com/srbhr/Resume-Matcher,primary,2026-09-25,"Apache-2.0; PDF/DOCX import, local Ollama or cloud, tailoring and PDF export documented."
S11,JobSpy repository,https://github.com/speedyapply/JobSpy,primary,2026-09-25,MIT Python discovery library. Former Bunsly URL redirects here. Not an application platform.
S12,GodsScion LinkedIn applier repository,https://github.com/GodsScion/Auto_job_applier_linkedIn,primary,2026-09-25,Current MIT license read via live GitHub connector; older cached copy showed AGPL. Platform policy risk is separate from source license.
S13,JobOps repository,https://github.com/DaKheera47/job-ops,primary,2026-09-25,AGPL plus Commons Clause stated. Included as source-available comparison under expanded scope; README says no auto-apply. Reuse restrictions remain.
S14,EasyApplyJobsBot license,https://raw.githubusercontent.com/wodsuz/EasyApplyJobsBot/main/LICENSE,primary,2026-09-25,CC BY-NC-SA 4.0 noncommercial restriction. Not unrestricted open-source software.
S15,Liam-Frost AutoApply repository,https://github.com/Liam-Frost/AutoApply,primary,2026-09-25,PolyForm Noncommercial; README explicitly says browser fill/click-submit and outcome sync remain not_implemented.
S16,Historical AIHawk URL,https://github.com/feder-cr/AIHawk,primary,2026-09-25,Observed redirect to feder-cr/invisible_playwright_mcp; historical recommendation lists may identify a different current project.
S17,ApplyPilot fork: ibarrajo,https://github.com/ibarrajo/ApplyPilot,primary,2026-09-25,README describes Gmail/human-review additions; fork license not independently resolved in this survey.
S18,ApplyPilot fork: alok-sin,https://github.com/alok-sin/applypilot,primary,2026-09-25,README describes hardening and ApplyPilot-Plus lineage; independent license verification outstanding.
S19,ApplyPilot workflow: yvonnehe772,https://github.com/yvonnehe772/applypilot,primary,2026-09-25,README-level workflow lead only; do not assume same lineage/license as Pickle-Pixel.
S20,ApplyPilot workflow: iknalos,https://github.com/iknalos/ApplyPilot,primary,2026-09-25,README describes profile/bookmarklet and supervised browser workflow; license unresolved.
S21,ApplyPilot app: kaanddemir,https://github.com/kaanddemir/applypilot,primary,2026-09-25,README describes tracker and browser-local WebLLM options; license unresolved.
S22,career-ops Cowork plugin,https://github.com/andrew-shwetzer/career-ops-plugin,primary,2026-09-25,MIT repository label observed; plugin depends on its host and is not a complete native application.
S23,Open Source Definition,https://opensource.org/osd,primary,2026-09-25,Open-source software must permit redistribution and not restrict fields of endeavor.
S24,Commons Clause FAQ,https://commonsclause.com/,primary,2026-09-25,Official FAQ explicitly distinguishes the clause from open-source licensing.
S25,Greenhouse Job Board API,https://docs.greenhouse.io/job-board.html,primary,2026-09-25,Public GET; application POST requires employer API credential. Job-specific required-field validation matters.
S26,Lever Postings API,https://github.com/lever/postings-api,primary,2026-09-25,Public postings; application POST requires API key; custom questions are not fully exposed. Hosted form recommended.
S27,Ashby public Job Postings API,https://developers.ashbyhq.com/docs/public-job-posting-api,primary,2026-09-25,Published postings and optional compensation. Does not establish unrestricted public submission access.
S28,LinkedIn prohibited software,https://www.linkedin.com/help/learning/answer/a1341387,primary,2026-09-25,Official restriction on scraping/automating LinkedIn via third-party software/extensions.
S29,Simplify Copilot autofill help,https://help.simplify.jobs/articles/2415391-using-copilot-to-autofill-applications,primary,2026-09-25,"Autofill, reused answers, review and tracking already exist; coverage percentages are vendor claims."
S30,Simplify resume tailoring help,https://help.simplify.jobs/articles/0515607-auto-tailoring-your-resume-with-copilot,primary,2026-09-25,Preserved original and tailored versions already exist; no interview guarantees.
S31,Teal job tracker,https://www.tealhq.com/tools/job-tracker,primary,2026-09-25,"Commercial adjacent baseline for saved jobs, organizing applications and workflow support."
S32,Huntr job tracker,https://huntr.co/product/job-tracker,primary,2026-09-25,Commercial adjacent baseline for application tracking/CRM.
S33,JobSpy issue 385: pagination hang,https://github.com/speedyapply/JobSpy/issues/385,primary,2026-09-25,"Reporter describes a page-two hang despite timeout; anecdotal report, not independently reproduced."
S34,JobSpy issue 370: direct URL missing,https://github.com/speedyapply/JobSpy/issues/370,primary,2026-09-25,Reporter attributes missing direct URLs to DOM change; not an independently established root cause.
S35,JobSpy issue 340: country validation,https://github.com/speedyapply/JobSpy/issues/340,primary,2026-09-25,"Reported unsupported countries motivate explicit coverage reporting, not a global-coverage claim."
S36,Qwen3.5-9B official model card,https://huggingface.co/Qwen/Qwen3.5-9B,primary,2026-09-25,"Apache-2.0 weights; thinking, tools and multimodality. Card recommends long contexts; proposed smaller contexts require task-specific evaluation."
S37,Qwen3-14B official model card,https://huggingface.co/Qwen/Qwen3-14B,primary,2026-09-25,"Reasoning-capable comparison candidate, not a second simultaneously resident model."
S38,Qwen3.5 GGUF quantizer listing,https://huggingface.co/mradermacher/Qwen3.5-9B-GGUF,primary,2026-09-25,"Quantizer is primary for its own artifact sizes, not the original model publisher. Q4_K_M listed about 5.63 GB; size is not peak VRAM."
S39,llama.cpp repository,https://github.com/ggml-org/llama.cpp,primary,2026-09-25,Local inference runtime; pin release/commit and model checksum during implementation. Not benchmarked here.
S40,llama.cpp server reference,https://github.com/ggml-org/llama.cpp/blob/master/tools/server/README.md,primary,2026-09-25,"Reasoning flags, JSON outputs, API authentication and bounded contexts. Pin supported flags rather than assume every version supports them."
S41,llama.cpp build reference,https://github.com/ggml-org/llama.cpp/blob/master/docs/build.md,primary,2026-09-25,Windows-compatible build paths and GPU backends; vendor/backend support still needs real hardware tests.
S42,Ollama thinking,https://docs.ollama.com/capabilities/thinking,primary,2026-09-25,Explicit think control and separated reasoning/final fields; API semantics differ by model.
