id,phase,title,work,crates,acceptance,status,dependencies,gate_dependency,review_roles,evidence_required
T001,G0,Baseline and license inventory,"Pin AI Job Hunter, AARG, openroles and selected dependencies; separate code/data/model terms.","research, legal inventory",Reproduce documented Prepared/Applied/Confirmed distinction and record exact version; no third-party code copied without allowed terms.,PLANNED,[],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T002,G0,Source permission registry,Record permitted discover/read/fill/upload/submit/confirm operations and limitations per provider.,"connectors, policy",Employer credential-only endpoints cannot be selected as candidate public submit routes.,PLANNED,['T001'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T003,G0,Threat model and data map,"Enumerate PII, egress, parser, browser, update and local IPC threats.","policy, security",Every external write and secret store has an owner and enforcement point.,PLANNED,['T002'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T004,G0,Domain contracts,"Define typed identities, revisions, states, grants, observations and amount units.",domain,"Schema rejects unknown state, missing source, invalid currency basis and unbound approval.",PLANNED,['T003'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T005,G1,Rust desktop shell,Create eframe/egui native navigation and typed view models.,desktop,No Node/Python/WSL runtime; 50k-row view virtualized; UI thread remains nonblocking.,PLANNED,[],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T006,G1,Accessibility and input spike,"Keyboard, Narrator/NVDA, IME, RTL sample and scaled multi-monitor behavior.",desktop,"Focus order, semantic names, copy/select and 200% scaling pass observed tests; record unsupported cases.",PLANNED,['T005'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T007,G1,Runtime capability handshake,"Probe model metadata, tokenizer, reasoning control, schema output and cancellation.",inference,Unsupported reasoning settings fail qualification rather than silently disable thinking.,PLANNED,['T006'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T008,G1,16 GB AMD qualification,"Pin model/backend/driver; measure VRAM, offload, latency and recall.","inference, benchmark",Target card tested with active UI/browser; aggregate peaks and context-position accuracy recorded.,PLANNED,['T007'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T009,G1,Resource scheduler,"Bound requests, model slot, browser session and blocking workers.","domain, runtime",Stress queue does not exceed budgets; cancellation does not lose drafts.,PLANNED,['T008'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T010,G2,Encrypted store,"Implement SQLite transactions, key storage and source/claim revision persistence.",store,Secrets absent from logs/config; encrypted file/backup/WAL handling tested.,PLANNED,[],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T011,G2,Migrations and restore,Atomic migrations with preflight backups and rollback path.,"store, export",Interrupted migration restores earlier consistent store in a clean account.,PLANNED,['T010'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T012,G2,Profile evidence import,Import text/PDF/DOCX through restricted extraction; preserve source spans.,"ingest, profile",Malicious archive/macros rejected; user attestation not mislabeled external verification.,PLANNED,['T011'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T013,G2,Campaign constraints,Independent income/career/relocation campaigns with explicit hard/soft constraints.,"profile, search",No cross-campaign answer leakage; unknown salary/sponsorship not silently passed.,PLANNED,['T012'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T014,G2,ATS discovery adapters,Implement read-only permitted Greenhouse/Lever/Ashby sources.,connectors,Empty/error/blocked/stale states distinct; fixture fields and references preserved.,PLANNED,['T013'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T015,G2,Safe network broker,"Apply purpose/destination limits, redirect/IP checks, conditional cache and bounded bodies.","policy, research",SSRF/private-IP redirects and poisoned URLs fail without credential exposure.,PLANNED,['T014'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T016,G2,Identity and dedup graph,"Use requisition namespaces, aliases and conservative merge proposals.","domain, search",Same role multiple URLs retained as aliases; similar title different req stays separate; undo works.,PLANNED,['T015'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T017,G2,Freshness observations,Track open/closed/unknown with time and method; recheck shortlist.,"connectors, search",HTTP 200 alone never qualifies a vacancy; source outage preserves last-known stale data.,PLANNED,['T016'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T018,G2,Lexical and semantic matching,Hard gates then lexical retrieval and bounded optional embedding/rerank.,"search, inference",Near-miss test roles separated; scores not presented as interview probabilities.,PLANNED,['T017'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T019,G2,Coverage dashboard,Show source/locale capability and scan failures with timestamps.,"desktop, connectors",Failures never become silently relaxed filters or misleading empty success.,PLANNED,['T018'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T020,G3,Research runs,"Public source retrieval, contradictions and local synthesis with bounded passes.","research, inference",Candidate PII absent from general queries; answer citations resolve to captured evidence.,PLANNED,[],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T021,G3,Semantic document tree,Resume/cover/answers reference source claims and lockable fields.,materials,Dates/title/ownership cannot change from a model proposal without explicit attestation.,PLANNED,['T020'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T022,G3,Evidence validation,"Validate claim IDs, quoted spans, numbers and user-approved semantic consistency.","materials, policy",Job requirements cannot become candidate evidence; unresolved claim blocks ready assurance.,PLANNED,['T021'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
T023,G3,Bounded drafting loop,"Draft, deterministic checks, focused critique, two repair attempts, user review.","materials, inference",Best valid draft retained; no endless retry; failed constraint visible.,PLANNED,['T022'],previous gate must pass; within-gate dependencies refine during implementation,domain + security/UX/performance reviewer as relevant,"Exact commit, commands, actual outputs, fixture IDs, screenshots/profile results where relevant"
