id,name,url,documented_features,verification,source_availability,limits_and_unknowns,sources
C01,Simplify,https://simplify.jobs/copilot,"Autofill; reusable profile; job-specific AI answers; tracker; tailored resumes; navigation advertises talent agent, interviewer and introductions.","Official public descriptions, not hands-on product tests",No reusable application-source license established in this review,New navigation features not walkthrough-tested; supported-site and outcome claims not independently reproduced.,S29 S30 S77
C02,Teal,https://www.tealhq.com/tools/job-tracker,Job capture/tracking; keyword guidance; materials; contacts/referral followups; advertised interview practice and negotiation tools.,"Official public descriptions, not hands-on product tests",No reusable application-source license established in this review,Do not reduce comparator to a Kanban board; local inference and exact approval semantics unverified.,S31
C03,Huntr,https://huntr.co/,Clipping/saved job descriptions; contacts; interviews; tailored CV/cover; autofill; versions and AI edit review.,"Official public descriptions, not hands-on product tests",No reusable application-source license established in this review,Platform outcome observations do not establish causal product uplift; exact permission/egress tests outstanding.,S32 S78
C04,Jobright,https://jobright.ai/,Matching; tailored resume; autofill; insider connections; fresh/verified job claims.,"Official public descriptions, not hands-on product tests",No reusable application-source license established in this review,Freshness and matching performance are vendor claims; no recall or verification audit conducted.,S79
C05,LoopCV,https://www.loopcv.pro/,Search loops; optional manual review; auto-apply; recruiter outreach; exclusions; application analytics and CV A/B tests.,"Official public descriptions, not hands-on product tests",No reusable application-source license established in this review,Outcome learning and recruiter outreach are not novel; opens and replies are not proof of hiring impact.,S80
C06,AIApply,https://aiapply.co/,Job discovery/application automation; tailored materials; tracker; resume translation; mock interviews; live interview assistance.,"Official public descriptions, not hands-on product tests",No reusable application-source license established in this review,"Differentiate ethical rehearsal from covert interview help; paid credits/cloud delivery, with no benchmark reproduced.",S81
C07,Scout,https://applyscout.app/,Search criteria/profiles; tailored packets; AI/human delegated applications; visible receipts and status.,"Official public descriptions, not hands-on product tests",No reusable application-source license established in this review,Receipts already marketed; exact recovery behavior and independent completion rate unknown.,S82
C08,HireProof,https://hireproof.tech/docs,Job/recruitment fraud audits with sources; receipts; alternative listings; integration interfaces.,"Official public descriptions, not hands-on product tests",No reusable application-source license established in this review,Risk signals cannot guarantee safe/fake verdict; interface openness is not an open-source license.,S83
C09,RolePatch Proof,https://rolepatch.com/proof,Evidence-linked achievements; private imports; selective sharing; verification preview.,"Official public descriptions, not hands-on product tests",No reusable application-source license established in this review,Some verification flows future-facing; evidence portability alone not new.,S84
C10,ApplyFlow Radar,https://career-ops.space/,Review workspace; fit checks; portal plans; human approval; evidence receipts.,"Official public descriptions, not hands-on product tests",No reusable application-source license established in this review,Do not assume shared ownership with GitHub career-ops; production maturity and source license unresolved.,S85
